FileName,Test Id,Model Name,Is_Valid,source_type,is_synthetic,base_curve_id,aug_id,tmax_original,gap_augmented,gap_pattern,train_horizon,observed_tmax,is_censored,n_points_observed,max_gap_hours,missing_frac_on_grid,too_sparse,grid_resolution_mismatch,initial_OD,final_OD,auc,auc_per_hour,net_change_per_hour,max_slope,time_of_max_slope,time_of_max_OD,monotonicity_fraction,largest_drop_frac,roughness,noise_residual_std,noise_residual_std_is_fallback,lag_time_est,plateau_OD,growth_phase_duration,symmetry_factor,num_slope_sign_changes,multi_phase_flag
SD1,SD1_1,Flat,0,synthetic,1,SD1_1_A,SD1_1_A_H10,16.0,0,,10.0,10.0,1,21,0.5,0.0,0,0,0.5191835259707916,0.31178631391792294,4.642070592167458,0.46420705921674577,-0.02073972120528687,1.1980103125177455,6.0,6.0,0.35,0.5795716037761833,0.2693330041523918,0.20834601082027177,0,0.5,0.38689933143556976,,0.6,9,0.0
SD1,SD1_1,Flat,0,synthetic,1,SD1_1_A,SD1_1_A_H16,16.0,0,,16.0,16.0,0,33,0.5,0.0,0,0,0.5641805557974913,0.43540369069040796,7.936706681754514,0.49604416760965714,-0.008048554069192707,1.0858949656509491,6.0,6.0,0.46875,0.5253326120809012,0.24332880087169104,0.18873906996783538,0,0.5,0.4550196663710435,,0.375,14,0.0
SD1,SD1_1,Flat,0,synthetic,1,SD1_1_A,SD1_1_A_H8,16.0,0,,8.0,8.0,1,17,0.5,0.0,0,0,0.5191835259707916,0.5137413045983293,4.059723556746681,0.5074654445933351,-0.0006802776715577885,1.1980103125177455,6.0,6.0,0.375,0.5795716037761833,0.28248215320788217,0.22544764122871133,0,0.5,0.3561500314005464,,0.75,6,0.0
SD1,SD1_10,Logistic,0,synthetic,1,SD1_10_A,SD1_10_A_H10,16.0,0,,10.0,10.0,1,21,0.5,0.0,0,0,0.08581828370449386,0.24094125730156307,5.635818011693585,0.5635818011693585,0.015512297359706922,0.6235266630417503,3.0,7.5,0.6,0.38671574702490397,0.17324414371583463,0.10834056611679756,0,1.5,0.1396015512333748,6.0,0.75,8,0.0
SD1,SD1_10,Logistic,0,synthetic,1,SD1_10_A,SD1_10_A_H12,16.0,0,,12.0,12.0,1,25,0.5,0.0,0,0,0.049448426580804165,0.18280421599834185,5.748390359817359,0.4790325299847799,0.011112982451461473,0.6483330830821058,3.0,7.5,0.6666666666666666,0.40210086818415314,0.15783123960527487,0.09581908035777953,0,1.5,0.12811823427492397,4.0,0.625,10,0.0
SD1,SD1_10,Logistic,0,synthetic,1,SD1_10_A,SD1_10_A_H16,16.0,0,,16.0,16.0,0,33,0.5,0.0,0,0,0.049448426580804165,0.06472474221403882,6.248220499499198,0.3905137812186999,0.0009547697270771657,0.6483330830821058,3.0,7.5,0.5625,0.40210086818415314,0.13849267340352034,0.083160548538861,0,1.5,0.10297338707389131,4.0,0.46875,15,0.0
SD1,SD1_100,Richards,0,synthetic,1,SD1_100_A,SD1_100_A_H10,16.0,0,,10.0,10.0,1,21,0.5,0.0,0,0,0.0015231769037584344,0.9275240134468182,2.2798054706904263,0.22798054706904264,0.09260008365430597,0.5939040209914346,8.5,9.5,0.65,0.07247598655318177,0.09255423015879335,0.10126048719046168,0,7.0,0.9471288202798995,2.0,0.95,5,0.0
SD1,SD1_100,Richards,0,synthetic,1,SD1_100_A,SD1_100_A_H14.5,16.0,0,,14.5,14.5,1,30,0.5,0.0,0,0,0.0015755911049739693,0.9964062356436929,6.739914597588846,0.46482169638543763,0.06860900996818751,0.6143409149478423,8.5,9.0,0.5517241379310345,0.017334423562169077,0.08104219229248395,0.09093743384089216,0,7.0,0.9636918089912025,2.0,0.6206896551724138,10,0.0
SD1,SD1_100,Richards,0,synthetic,1,SD1_100_A,SD1_100_A_H16,16.0,0,,16.0,16.0,0,33,0.5,0.0,0,0,0.0015437890462975626,1.0,8.06721311361602,0.5042008196010013,0.0624035131846064,0.6019409301022745,8.5,16.0,0.5625,0.0169845419504327,0.07603399289756793,0.08686878075367115,0,7.0,0.9641268320103327,2.0,1.0,12,0.0
SD1,SD1_101,ModifiedGompertz,1,synthetic,1,SD1_101_A,SD1_101_A_GAP1B,16.0,1,block,16.0,16.0,0,21,6.5,0.36363636363636365,0,1,0.0,1.0,14.027984022710696,0.8767490014194185,0.0625,0.6283149480012363,1.5,16.0,0.78125,0.0222813503589121,0.07303037579690871,0.08453244041594007,0,0.5,0.9948332294236376,3.0,1.0,8,0.0
