FileName,Test Id,Model Name,base_curve_id,aug_id,Is_Valid,tmax_original,train_horizon,is_censored,too_sparse,n_points_observed_raw,max_gap_hours_raw,missing_frac_on_grid_raw,is_synthetic,gap_augmented,gap_pattern,T0.0 (h),T0.5 (h),T1.0 (h),T1.5 (h),T2.0 (h),T2.5 (h),T3.0 (h),T3.5 (h),T4.0 (h),T4.5 (h),T5.0 (h),T5.5 (h),T6.0 (h),T6.5 (h),T7.0 (h),T7.5 (h),T8.0 (h),T8.5 (h),T9.0 (h),T9.5 (h),T10.0 (h),T10.5 (h),T11.0 (h),T11.5 (h),T12.0 (h),T12.5 (h),T13.0 (h),T13.5 (h),T14.0 (h),T14.5 (h),T15.0 (h),T15.5 (h),T16.0 (h)
SD1,SD1_1,Flat,SD1_1_A,SD1_1_A_H10,False,16.0,10.0,1,False,21,0.5,0.0,1,,,0.5191835259707916,0.6508980717838649,0.6363159293698496,0.5494204101021883,0.3640557687589691,0.3392644617019834,0.39853682516718847,0.701309974962268,0.5181568697177773,0.42800721619779775,0.0,0.4009948437411273,1.0,0.9357216351767297,0.3561500314005464,0.11940662417652405,0.26815101593004664,0.20880483468673347,0.5314494025637466,0.4620123489532166,0.31178631391792294,,,,,,,,,,,,
SD1,SD1_1,Flat,SD1_1_A,SD1_1_A_H16,False,16.0,16.0,0,False,33,0.5,0.0,1,,,0.5641805557974913,0.6835686451210536,0.6703511670490109,0.5915877324404456,0.4235703717039836,0.4010991498423697,0.4548245313491721,0.729262769201893,0.5632499787857964,0.48153694686139625,0.09358462585449213,0.4570525171745255,1.0,0.941737101899254,0.41640448981835276,0.2018166257829082,0.3366408292862234,0.2828485382104586,0.5752985349187171,0.7714769384602465,0.462661182989173,0.0,0.15746302498102485,0.2609221244956028,0.5754185719459571,0.8725223429085712,0.5105103540819617,0.5479939801161032,0.5882039397668772,0.4801564182158245,0.4550196663710435,0.38683814063263994,0.43540369069040796
SD1,SD1_1,Flat,SD1_1_A,SD1_1_A_H8,False,16.0,8.0,1,False,17,0.5,0.0,1,,,0.5191835259707916,0.6508980717838649,0.6363159293698496,0.5494204101021883,0.3640557687589691,0.3392644617019834,0.39853682516718847,0.701309974962268,0.5181568697177773,0.42800721619779775,0.0,0.4009948437411273,1.0,0.9357216351767297,0.3561500314005464,0.32415266012851157,0.5137413045983293,,,,,,,,,,,,,,,,
SD1,SD1_10,Logistic,SD1_10_A,SD1_10_A_H10,False,16.0,10.0,1,False,21,0.5,0.0,1,,,0.08581828370449386,0.1250807297386248,0.15957461558995106,0.2036320065116475,0.19473152547808578,0.24321867097177813,0.5549820024926533,0.843135182300849,0.9464345357361352,0.9207231706146098,0.9167640715301705,0.953683239161977,0.973608927264706,0.9787877054329516,0.892855367551667,1.0,0.7747492021840253,0.38803345515912135,0.03826184516518652,0.0,0.24094125730156307,,,,,,,,,,,,
SD1,SD1_10,Logistic,SD1_10_A,SD1_10_A_H12,False,16.0,12.0,1,False,25,0.5,0.0,1,,,0.049448426580804165,0.09027289198934832,0.12613908454697945,0.17194925720178453,0.16269467892721198,0.21311083976053197,0.5372773813015849,0.8368944635184057,0.9443034842752338,0.9175692167490157,0.913452608642603,0.9518405705282865,0.9725589833338505,0.9779437943057465,0.8885927194323116,1.0,0.765787811699471,0.36368694351531783,0.0,0.08691282847685164,0.10012241817051602,0.12766931447643914,0.10330795342024597,0.12856715407340882,0.18280421599834185,,,,,,,,
SD1,SD1_10,Logistic,SD1_10_A,SD1_10_A_H16,False,16.0,16.0,0,False,33,0.5,0.0,1,,,0.049448426580804165,0.09027289198934832,0.12613908454697945,0.17194925720178453,0.16269467892721198,0.21311083976053197,0.5372773813015849,0.8368944635184057,0.9443034842752338,0.9175692167490157,0.913452608642603,0.9518405705282865,0.9725589833338505,0.9779437943057465,0.8885927194323116,1.0,0.765787811699471,0.36368694351531783,0.0,0.08691282847685164,0.10012241817051602,0.12766931447643914,0.10330795342024597,0.15007798489377427,0.121123633474311,0.15730306417498333,0.15690307297108938,0.15237210131170564,0.06979986726767824,0.10297338707389131,0.14768323552985158,0.12903082363195487,0.06472474221403882
SD1,SD1_100,Richards,SD1_100_A,SD1_100_A_H10,False,16.0,10.0,1,False,21,0.5,0.0,1,,,0.0015231769037584344,0.024963634215202347,0.03431077413668746,0.028735215881729025,0.023775991345850157,0.015886229898561647,0.016117104172517174,0.023889449133372317,0.03043918312220649,0.019592091603377396,0.0028343214392089686,0.0,0.01977013256401606,0.08365954077790885,0.13690668336632553,0.2688198421966003,0.5508507573716511,0.8478027678673684,0.9667336271129807,1.0,0.9275240134468182,,,,,,,,,,,,
SD1,SD1_100,Richards,SD1_100_A,SD1_100_A_H14.5,False,16.0,14.5,1,False,30,0.5,0.0,1,,,0.0015755911049739693,0.02582266046724046,0.03549144580720953,0.02972402642860667,0.024594149493748284,0.016432892632486287,0.01667171154545304,0.02471151148917301,0.03148662906565999,0.020266277135602005,0.002931853573432928,0.0,0.020450444682530478,0.08653835806637529,0.14161779369895183,0.27807023016194693,0.5698061409291124,0.8769765984030335,1.0,0.9929161830797673,0.9889254640409175,0.983235507356361,0.9920259178586159,0.9766517163700691,0.9897537756282776,0.9755932997000626,0.9628463919921008,0.9536054932054209,0.9636918089912025,0.9964062356436929,,,
SD1,SD1_100,Richards,SD1_100_A,SD1_100_A_H16,False,16.0,16.0,0,False,33,0.5,0.0,1,,,0.0015437890462975626,0.025301450515770423,0.03477507908077385,0.029124070494863808,0.024097736063368187,0.01610120770860494,0.016335206250944295,0.024212729199859208,0.030851096393568072,0.019857218381345212,0.0028726764309125108,0.0,0.020037668652189037,0.08479164984220552,0.13875935068628217,0.2724576027817497,0.5583050552281342,0.8592755202792715,0.9798157919424583,0.9728749562567851,0.9689647867213147,0.9633896773063176,0.9720026603340839,0.9569387749271004,0.9697763794952591,0.9559017215593729,0.9434121000886789,0.934357721525748,0.9616405127132888,0.9641268320103327,0.9600998408318432,0.9731972590064656,1.0
SD1,SD1_101,ModifiedGompertz,SD1_101_A,SD1_101_A_GAP1B,True,16.0,16.0,0,False,21,6.5,0.36363636363636365,1,1.0,block,0.0,0.10893370469616213,0.2885559863459514,0.6027134603465696,0.822722385549069,0.8908440833693192,0.8943869733385247,0.9127319014857841,0.9469183159726005,0.9394380496572917,0.9196021301607722,0.9572550342498175,0.9436364819263552,0.9213551315674431,0.9024906488790336,0.914154509027292,0.9336795413149015,0.9456824551777518,0.9598707942117722,0.9488334984993746,0.9726663886655622,0.9715827618300075,0.9741661471181886,0.9767495324063699,0.9793329176945509,0.9819163029827319,0.984499688270913,0.9870830735590943,0.9896664588472753,0.9922498441354565,0.9948332294236376,0.997416614711819,1.0
SD1,SD1_101,ModifiedGompertz,SD1_101_A,SD1_101_A_GAP2B,True,16.0,16.0,0,False,24,5.0,0.2727272727272727,1,1.0,block,0.0,0.1024733114707383,0.2714429620111557,0.5669690966810245,0.7739302312674292,0.8380119218527302,0.8451718162019969,0.8438947436766623,0.8651309413892389,0.8709916099883983,0.8791460307322614,0.8873004514761247,0.895454872219988,0.9036092929638513,0.9117637137077146,0.9199181344515778,0.9347543430549439,0.9132227246523054,0.9008496306763724,0.8765089922876363,0.8758717056612197,0.8468068916740848,0.8828690607891317,0.9487762823225934,1.0,0.9757011648205388,0.9336874645929939,0.9273371073956531,0.9473027517565458,0.9298383097518125,0.9402344745285443,0.946035101854769,0.9578501550307732
