FileName,Test Id,Model Name,Is_Valid,Curve Subtype,T0.0 (h),T0.5 (h),T1.0 (h),T1.5 (h),T2.0 (h),T2.5 (h),T3.0 (h),T3.5 (h),T4.0 (h),T4.5 (h),T5.0 (h),T5.5 (h),T6.0 (h),T6.5 (h),T7.0 (h),T7.5 (h),T8.0 (h),T8.5 (h),T9.0 (h),T9.5 (h),T10.0 (h),T10.5 (h),T11.0 (h),T11.5 (h),T12.0 (h),T12.5 (h),T13.0 (h),T13.5 (h),T14.0 (h),T14.5 (h),T15.0 (h),T15.5 (h),T16.0 (h)
SD1,SD1_1,Flat,False,noise,0.2016823361507329,0.14556407559396684,0.09529119033912198,0.32666564466417586,0.0,0.11632507115830454,0.2541771391472485,0.0,0.3812264459590748,0.005964963760786625,0.05199131819942959,0.155155266031817,0.2114251565239094,0.395237928537726,0.04548827936590999,0.0,0.2281661042898516,0.0,0.10842625928221251,0.38275356549872996,0.0,0.045661772775061046,0.05526966178611939,0.0557976613834888,0.1642851650299737,0.25662805187759663,0.2077274050564481,0.0,0.3333526122756236,0.07946558392358992,0.03978631360967921,0.33584518146113956,0.028298951722242085
SD1,SD1_2,Gompertz,False,obvious,0.06167306574411677,0.0,0.03644009196418151,0.0,0.020614966868696204,0.0,0.06496920604217603,0.0,0.0,0.023958598233683185,0.0,0.0,0.0,0.1118956376265339,0.6042375859894773,0.8625812606670844,0.0,0.03836911565104613,0.0,0.04289176539344377,0.0,0.048248622564143376,0.0,0.0,0.0,0.0,0.06398801510799662,0.0,0.10505699424307152,0.07214799486468743,0.09210613745700472,0.01006067868976613,0.09689862639728218
SD1,SD1_3,Logistic,True,plain,0.0,0.016569325006062684,0.018489792129029778,0.0,0.006907812222789257,0.0005804400422675989,0.017318296954039157,0.0,0.020266358422392588,0.01441063554423749,0.0,0.0,0.0,0.024789872686856524,0.0,0.011776796451670596,0.05973843556511421,0.07549689463661019,0.12657486812479435,0.21424494373056865,0.31141978046139035,0.38493410544012574,0.47641895285674696,0.4854116319689117,0.5526133013922544,0.5040506785798882,0.5281794660644449,0.5348389791601645,0.5260251813637012,0.5360733509323005,0.546222635604464,0.5578930731115153,0.5382143752537603
SD1,SD1_4,Logistic,False,subtle,0.06638154537907685,0.009910500354913185,0.006160861097190657,0.001618266213047833,0.04085464353570189,0.03816122873184197,0.048033553100632384,0.021067300913385927,0.0,0.05123561250875748,0.11952830739161484,0.1297351047916766,0.28254455675891793,0.294382444781263,0.33483306700782267,0.6027916565777893,0.6619342506707143,0.774871962590196,0.7684508116993913,0.9043597044641393,0.9623435803199685,0.8985352418191647,0.9633698293159756,0.9012471317823018,1.0401928040958113,1.1440549544556295,1.05550734924807,1.1384513079575802,0.9797637668526812,1.0601660305801852,1.1320131209969315,1.1055835686500801,1.1472899695496301
SD1,SD1_5,Gompertz,True,plain,0.0,0.013020578477328019,0.0,,0.0,0.07692045920383148,,0.7061574249102631,0.7140788421666314,0.7285116758771939,0.7295238334131084,0.7333116353434753,0.7111132882606342,0.7048144634771676,0.7167538427778896,0.7213563122268989,0.6960876579758746,,0.722152366574026,0.7345248689397548,0.7179370459279797,0.7121635669128759,0.7188085637936974,0.7192214362054002,0.700799976303556,0.7201695655801167,0.7338670683664638,0.7220981814174998,0.7139155707667919,0.7274127615876106,0.7252238689274841,0.7006585705004749,0.7356436551385258
SD1,SD1_6,Diauxic,False,diauxic,0.0,0.05390254401677479,0.0031834559015935346,0.0,0.03562449829178588,0.44556160040023685,0.5705609408693924,0.636612310198867,0.6696852324283127,0.757768715649134,0.6877609708194036,0.6518205503080967,0.7067393631017153,0.8026300136036272,0.7996620518854216,0.8301745083827538,0.7728900141397589,0.7990294775144604,0.942090039510631,1.0529413739115476,1.1971339240925936,1.3593997429149707,1.3811957511246395,1.4408655553990484,1.4719012084051664,1.5930651170725267,1.5953511051591895,1.6305640516965798,1.5280115779926113,1.5719148722593252,1.6624540167953632,1.6194806256465455,1.6590356058829938
SD1,SD1_7,Logistic,True,late,0.11747387591662604,0.03710220799666047,,0.009315600238227112,0.02166072553010682,0.0,0.03667488824526809,0.05511026999832923,0.12321880686003829,0.07641921855637666,0.015833415373998707,0.0,,0.05002175826532125,0.06175905898124251,0.07507232500672517,0.01645066582704834,,0.0,0.04562803112410907,0.0,0.00587112189855564,0.22883289968119944,0.7164736415189105,0.9208607685977486,1.0329766281873034,0.9843908862525387,1.0103983734055542,0.9781883915672965,0.9596532827126657,0.9293664493015804,0.9968114772410577,0.9825192723114983
SD1,SD1_8,Flat,False,noise,0.20877481763992695,0.26016925625845366,0.0,0.054487383033460526,0.35057894768886355,0.04674618921735632,0.0001789887498925627,0.2691034842588237,0.3655741882073588,0.34724416988815976,0.21182379245877375,0.004328158874171796,0.16089923894828156,0.2203463165613141,0.08833156929572758,0.11426789468205925,0.30346460353836774,0.5104434203231621,0.01507702819588356,0.2606899109465307,0.0,0.013627695936111212,0.021293819208409254,0.5149980623797534,0.3075310404004564,0.06176728420546538,0.4276044872221777,0.011479050732324204,0.27358745645390037,0.44044969174851856,0.22501116593811504,0.303805365686759,0.19638730928697246
SD1,SD1_9,Richards,True,decline,0.0,0.000615784620879264,0.015931121357250992,0.02958794433490811,0.0035840525716927863,0.01977609287204683,0.0,0.00013995409538021964,0.0344522657304442,0.08483777420613055,0.21756711242544444,0.4929404756363465,0.9402142416616531,1.292103064408906,1.3557978683983791,1.420116279509909,1.4236139049180838,1.4565858317868356,1.4381996591905746,1.4443666424041914,1.3935091647752542,1.2867930503481608,1.2064508829290062,1.0973180556950206,1.015698060184555,0.9505657419361505,0.8851759603395726,0.8131792888586713,0.7664248917716808,0.7428615446124973,0.6544905268694569,0.6246690831691026,0.5625497732813262
SD1,SD1_10,Logistic,False,obvious,0.0,0.0,0.022791807914859397,0.09834960831226137,0.060559094556957946,0.0774063357682409,0.28106192970601246,0.5777899632018391,0.5378925575269171,0.55976966181026,0.5807281560345416,0.5372401764665683,0.6410292022170668,0.5773125192910235,0.5567834129179333,0.530953682022167,0.6378819426805202,0.04644289753519186,0.0,0.0,0.053258995254204966,0.005426829830416438,0.06103752521371119,0.014209847655302773,0.0842663461426897,0.010730473557608613,0.09270369646970017,0.05348646143496984,0.0,0.0,0.09131541562955209,0.02744031661391508,0.0
